DATE,M1
2002-08-01,1177.425
2002-09-01,1191.62
2002-10-01,1190.925
2002-11-01,1199.325
2002-12-01,1246.98
2003-01-01,1223.675
2003-02-01,1225.9
2003-03-01,1245.94
2003-04-01,1256.5
2003-05-01,1262.3
2003-06-01,1287.62
2003-07-01,1282.25
2003-08-01,1291.0
2003-09-01,1291.12
2003-10-01,1282.9
2003-11-01,1291.675
2003-12-01,1329.64
2004-01-01,1303.2
2004-02-01,1303.9
2004-03-01,1334.16
2004-04-01,1339.825
2004-05-01,1340.62
2004-06-01,1342.925
2004-07-01,1336.225
2004-08-01,1356.26
2004-09-01,1343.475
2004-10-01,1348.975
2004-11-01,1373.94
2004-12-01,1390.45
2005-01-01,1374.7
2005-02-01,1355.0
2005-03-01,1374.675
2005-04-01,1370.775
2005-05-01,1373.98
2005-06-01,1377.55
2005-07-01,1366.75
2005-08-01,1378.18
2005-09-01,1359.0
2005-10-01,1372.82
2005-11-01,1369.375
2005-12-01,1387.975
2006-01-01,1387.58
2006-02-01,1362.0
2006-03-01,1383.825
2006-04-01,1399.075
2006-05-01,1394.12
2006-06-01,1373.675
2006-07-01,1377.48
2006-08-01,1363.4
2006-09-01,1347.975
2006-10-01,1364.6
2006-11-01,1362.375
2006-12-01,1379.45
2007-01-01,1380.06
2007-02-01,1349.275
2007-03-01,1366.85
2007-04-01,1400.5
2007-05-01,1379.5
2007-06-01,1367.175
2007-07-01,1376.84
2007-08-01,1364.4
2007-09-01,1361.1
2007-10-01,1368.82
2007-11-01,1367.675
2007-12-01,1398.38
2008-01-01,1370.5
2008-02-01,1364.325
2008-03-01,1403.5
2008-04-01,1402.25
2008-05-01,1392.05
2008-06-01,1413.28
2008-07-01,1410.825
2008-08-01,1399.975
2008-09-01,1439.88
2008-10-01,1450.175
2008-11-01,1506.175
2008-12-01,1617.38
2009-01-01,1588.75
2009-02-01,1551.8
2009-03-01,1594.48
2009-04-01,1623.275
2009-05-01,1613.45
2009-06-01,1661.68
2009-07-01,1649.2
2009-08-01,1660.22
2009-09-01,1636.05
2009-10-01,1652.375
2009-11-01,1692.56
2009-12-01,1713.975
2010-01-01,1681.2
2010-02-01,1680.575
2010-03-01,1726.2
2010-04-01,1711.525
2010-05-01,1717.92
2010-06-01,1725.25
2010-07-01,1712.725
2010-08-01,1745.96
2010-09-01,1732.6
2010-10-01,1759.9
2010-11-01,1829.22
2010-12-01,1853.525
2011-01-01,1871.78
2011-02-01,1858.675
2011-03-01,1896.125
2011-04-01,1915.975
2011-05-01,1941.68
2011-06-01,1940.1
2011-07-01,1973.325
2011-08-01,2102.54
2011-09-01,2086.725
2011-10-01,2141.62
2011-11-01,2156.475
2011-12-01,2183.475
2012-01-01,2230.46
2012-02-01,2189.85
2012-03-01,2225.725
2012-04-01,2284.94
2012-05-01,2236.7
2012-06-01,2259.175
2012-07-01,2322.58
2012-08-01,2317.225
2012-09-01,2351.0
2012-10-01,2412.22
2012-11-01,2412.525
2012-12-01,2514.12
2013-01-01,2469.0
2013-02-01,2458.95
2013-03-01,2461.425
2013-04-01,2565.3
2013-05-01,2502.725
2013-06-01,2517.7
2013-07-01,2552.2
2013-08-01,2524.625
2013-09-01,2572.98
2013-10-01,2600.725
2013-11-01,2597.7
2013-12-01,2717.4
2014-01-01,2686.0
2014-02-01,2712.075
2014-03-01,2778.96
2014-04-01,2798.475
2014-05-01,2768.65
2014-06-01,2840.04
2014-07-01,2822.275
2014-08-01,2785.9
2014-09-01,2843.44
2014-10-01,2845.725
2014-11-01,2858.85
2014-12-01,2980.5
2015-01-01,2929.775
2015-02-01,2981.075
2015-03-01,3030.06
2015-04-01,3025.7
2015-05-01,2969.425
2015-06-01,3029.36
2015-07-01,3019.4
2015-08-01,3045.32
2015-09-01,3002.05
2015-10-01,2989.125
2015-11-01,3079.76
2015-12-01,3115.4
2016-01-01,3102.75
2016-02-01,3113.7
2016-03-01,3153.525
2016-04-01,3226.1
2016-05-01,3254.98
2016-06-01,3225.1
2016-07-01,3237.8
2016-08-01,3321.56
2016-09-01,3281.95
2016-10-01,3347.28
2016-11-01,3315.9
2016-12-01,3356.6
2017-01-01,3412.94
2017-02-01,3358.675
2017-03-01,3441.25
2017-04-01,3498.75
2017-05-01,3522.04
2017-06-01,3506.6
2017-07-01,3572.96
2017-08-01,3566.75
2017-09-01,3535.6
2017-10-01,3615.04
2017-11-01,3587.625
2017-12-01,3630.45
2018-01-01,3673.4
2018-02-01,3568.175
2018-03-01,3655.675
2018-04-01,3728.68
2018-05-01,3632.475
2018-06-01,3645.525
2018-07-01,3699.38
2018-08-01,3664.825
2018-09-01,3678.425
2018-10-01,3727.38
2018-11-01,3664.175
2018-12-01,3814.2
2019-01-01,3728.925
2019-02-01,3710.675
2019-03-01,3726.075
2019-04-01,3843.92
2019-05-01,3761.025
2019-06-01,3825.225
2019-07-01,3872.94
2019-08-01,3833.45
2019-09-01,3903.14
2019-10-01,3898.25
2019-11-01,3916.225
2019-12-01,4051.58
2020-01-01,3960.575
2020-02-01,3950.5
2020-03-01,4244.2
2020-04-01,4803.95
2020-05-01,16100.075
2020-06-01,16496.02
2020-07-01,16745.3
2020-08-01,16846.82
2020-09-01,17129.025
2020-10-01,17283.825
2020-11-01,17610.42
2020-12-01,17929.675
2021-01-01,18076.475
2021-02-01,18200.875
2021-03-01,18641.48
2021-04-01,19077.25
2021-05-01,19153.88
2021-06-01,19293.0
2021-07-01,19423.85
2021-08-01,19633.46
2021-09-01,19825.9
2021-10-01,19986.4
2021-11-01,20223.52
2021-12-01,20565.95
2022-01-01,20551.26
2022-02-01,20520.525
2022-03-01,20787.025
2022-04-01,20870.675
2022-05-01,20550.96
2022-06-01,20539.925
2022-07-01,20493.275
2022-08-01,20412.0
2022-09-01,20265.875
2022-10-01,20072.36
2022-11-01,19966.675
2022-12-01,19902.9
2023-01-01,19617.86
2023-02-01,19321.675
2023-03-01,19109.8
2023-04-01,18815.8
2023-05-01,18490.6
2023-06-01,18444.925
2023-07-01,18345.0
2023-08-01,18232.6
2023-09-01,18153.125
2023-10-01,18046.98
2023-11-01,18027.3
2023-12-01,18137.25
